Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Septicaemia due to other Gram-negative organisms,A41.5,Not Stated,NS,1,Not Applicable,Not Applicable
,Other specified septicaemia,A41.8,1-4 years,1-4,1,15929243,Unreliable
,Other specified septicaemia,A41.8,15-24 years,15-24,1,43848216,Unreliable
,Other specified septicaemia,A41.8,25-34 years,25-34,2,44137202,Unreliable
,Other specified septicaemia,A41.8,35-44 years,35-44,2,40589783,Unreliable
,Other specified septicaemia,A41.8,45-54 years,45-54,4,43188161,Unreliable
,Other specified septicaemia,A41.8,55-64 years,55-64,8,40877819,Unreliable
,Other specified septicaemia,A41.8,65-74 years,65-74,8,27550517,Unreliable
,Other specified septicaemia,A41.8,75-84 years,75-84,17,13923174,Unreliable
,Other specified septicaemia,A41.8,85+ years,85+,15,6287161,Unreliable
,"Septicaemia, unspecified",A41.9,< 1 year,1,121,3978038,3
,"Septicaemia, unspecified",A41.9,1-4 years,1-4,36,15929243,0.2
,"Septicaemia, unspecified",A41.9,5-14 years,5-14,51,41109506,0.1
,"Septicaemia, unspecified",A41.9,15-24 years,15-24,111,43848216,0.3
,"Septicaemia, unspecified",A41.9,25-34 years,25-34,351,44137202,0.8
,"Septicaemia, unspecified",A41.9,35-44 years,35-44,752,40589783,1.9
,"Septicaemia, unspecified",A41.9,45-54 years,45-54,2328,43188161,5.4
,"Septicaemia, unspecified",A41.9,55-64 years,55-64,5376,40877819,13.2
,"Septicaemia, unspecified",A41.9,65-74 years,65-74,8110,27550517,29.4
,"Septicaemia, unspecified",A41.9,75-84 years,75-84,9836,13923174,70.6
,"Septicaemia, unspecified",A41.9,85+ years,85+,10999,6287161,174.9
,"Septicaemia, unspecified",A41.9,Not Stated,NS,3,Not Applicable,Not Applicable
,Pulmonary actinomycosis,A42.0,55-64 years,55-64,1,40877819,Unreliable
,Pulmonary actinomycosis,A42.0,75-84 years,75-84,1,13923174,Unreliable
,Actinomycotic septicaemia,A42.7,35-44 years,35-44,1,40589783,Unreliable
,Actinomycotic septicaemia,A42.7,65-74 years,65-74,1,27550517,Unreliable
,"Actinomycosis, unspecified",A42.9,45-54 years,45-54,1,43188161,Unreliable
,Pulmonary nocardiosis,A43.0,55-64 years,55-64,1,40877819,Unreliable
,Pulmonary nocardiosis,A43.0,65-74 years,65-74,8,27550517,Unreliable
,Pulmonary nocardiosis,A43.0,75-84 years,75-84,3,13923174,Unreliable
,Pulmonary nocardiosis,A43.0,85+ years,85+,5,6287161,Unreliable
,Other forms of nocardiosis,A43.8,65-74 years,65-74,2,27550517,Unreliable
,"Nocardiosis, unspecified",A43.9,15-24 years,15-24,1,43848216,Unreliable
,"Nocardiosis, unspecified",A43.9,25-34 years,25-34,1,44137202,Unreliable
,"Nocardiosis, unspecified",A43.9,45-54 years,45-54,1,43188161,Unreliable
,"Nocardiosis, unspecified",A43.9,55-64 years,55-64,2,40877819,Unreliable
,"Nocardiosis, unspecified",A43.9,65-74 years,65-74,1,27550517,Unreliable
,"Nocardiosis, unspecified",A43.9,75-84 years,75-84,6,13923174,Unreliable
,"Nocardiosis, unspecified",A43.9,85+ years,85+,1,6287161,Unreliable
,Erysipelas,A46,75-84 years,75-84,1,13923174,Unreliable
,Erysipelas,A46,85+ years,85+,1,6287161,Unreliable
,Gas gangrene,A48.0,35-44 years,35-44,2,40589783,Unreliable
,Gas gangrene,A48.0,45-54 years,45-54,2,43188161,Unreliable
,Gas gangrene,A48.0,55-64 years,55-64,1,40877819,Unreliable
,Gas gangrene,A48.0,75-84 years,75-84,5,13923174,Unreliable
,Gas gangrene,A48.0,85+ years,85+,4,6287161,Unreliable
,Legionnaires' disease,A48.1,15-24 years,15-24,2,43848216,Unreliable
,Legionnaires' disease,A48.1,35-44 years,35-44,9,40589783,Unreliable
,Legionnaires' disease,A48.1,45-54 years,45-54,21,43188161,0
,Legionnaires' disease,A48.1,55-64 years,55-64,29,40877819,0.1
,Legionnaires' disease,A48.1,65-74 years,65-74,43,27550517,0.2
,Legionnaires' disease,A48.1,75-84 years,75-84,35,13923174,0.3
,Legionnaires' disease,A48.1,85+ years,85+,31,6287161,0.5
,Nonpneumonic Legionnaires' disease [Pontiac fever],A48.2,35-44 years,35-44,1,40589783,Unreliable
,Toxic shock syndrome,A48.3,< 1 year,1,1,3978038,Unreliable
,Toxic shock syndrome,A48.3,5-14 years,5-14,1,41109506,Unreliable
,Toxic shock syndrome,A48.3,15-24 years,15-24,1,43848216,Unreliable
,Toxic shock syndrome,A48.3,25-34 years,25-34,2,44137202,Unreliable
,Toxic shock syndrome,A48.3,35-44 years,35-44,3,40589783,Unreliable
,Toxic shock syndrome,A48.3,45-54 years,45-54,5,43188161,Unreliable
,Toxic shock syndrome,A48.3,55-64 years,55-64,3,40877819,Unreliable
,Toxic shock syndrome,A48.3,65-74 years,65-74,5,27550517,Unreliable
,Other specified bacterial diseases,A48.8,15-24 years,15-24,1,43848216,Unreliable
,Other specified bacterial diseases,A48.8,45-54 years,45-54,1,43188161,Unreliable
,Other specified bacterial diseases,A48.8,65-74 years,65-74,3,27550517,Unreliable
,Other specified bacterial diseases,A48.8,75-84 years,75-84,1,13923174,Unreliable
,"Staphylococcal infection, unspecified",A49.0,< 1 year,1,8,3978038,Unreliable
,"Staphylococcal infection, unspecified",A49.0,15-24 years,15-24,5,43848216,Unreliable
,"Staphylococcal infection, unspecified",A49.0,25-34 years,25-34,6,44137202,Unreliable
,"Staphylococcal infection, unspecified",A49.0,35-44 years,35-44,15,40589783,Unreliable
,"Staphylococcal infection, unspecified",A49.0,45-54 years,45-54,44,43188161,0.1
,"Staphylococcal infection, unspecified",A49.0,55-64 years,55-64,72,40877819,0.2
,"Staphylococcal infection, unspecified",A49.0,65-74 years,65-74,107,27550517,0.4
,"Staphylococcal infection, unspecified",A49.0,75-84 years,75-84,145,13923174,1
,"Staphylococcal infection, unspecified",A49.0,85+ years,85+,144,6287161,2.3
,"Streptococcal infection, unspecified",A49.1,< 1 year,1,2,3978038,Unreliable
,"Streptococcal infection, unspecified",A49.1,1-4 years,1-4,5,15929243,Unreliable
,"Streptococcal infection, unspecified",A49.1,5-14 years,5-14,5,41109506,Unreliable
,"Streptococcal infection, unspecified",A49.1,15-24 years,15-24,4,43848216,Unreliable
,"Streptococcal infection, unspecified",A49.1,25-34 years,25-34,8,44137202,Unreliable
,"Streptococcal infection, unspecified",A49.1,35-44 years,35-44,6,40589783,Unreliable
,"Streptococcal infection, unspecified",A49.1,45-54 years,45-54,13,43188161,Unreliable
,"Streptococcal infection, unspecified",A49.1,55-64 years,55-64,22,40877819,0.1
,"Streptococcal infection, unspecified",A49.1,65-74 years,65-74,37,27550517,0.1
,"Streptococcal infection, unspecified",A49.1,75-84 years,75-84,41,13923174,0.3
,"Streptococcal infection, unspecified",A49.1,85+ years,85+,34,6287161,0.5
,"Haemophilus influenzae infection, unspecified",A49.2,1-4 years,1-4,2,15929243,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,5-14 years,5-14,2,41109506,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,45-54 years,45-54,2,43188161,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,55-64 years,55-64,2,40877819,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,65-74 years,65-74,3,27550517,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,75-84 years,75-84,3,13923174,Unreliable
,"Haemophilus influenzae infection, unspecified",A49.2,85+ years,85+,3,6287161,Unreliable
,"Mycoplasma infection, unspecified",A49.3,< 1 year,1,1,3978038,Unreliable
,"Mycoplasma infection, unspecified",A49.3,45-54 years,45-54,1,43188161,Unreliable
,"Mycoplasma infection, unspecified",A49.3,75-84 years,75-84,2,13923174,Unreliable
,"Mycoplasma infection, unspecified",A49.3,85+ years,85+,1,6287161,Unreliable
,Other bacterial infections of unspecified site,A49.8,< 1 year,1,6,3978038,Unreliable
,Other bacterial infections of unspecified site,A49.8,1-4 years,1-4,2,15929243,Unreliable
,Other bacterial infections of unspecified site,A49.8,15-24 years,15-24,1,43848216,Unreliable
,Other bacterial infections of unspecified site,A49.8,25-34 years,25-34,3,44137202,Unreliable
,Other bacterial infections of unspecified site,A49.8,35-44 years,35-44,7,40589783,Unreliable
,Other bacterial infections of unspecified site,A49.8,45-54 years,45-54,13,43188161,Unreliable
,Other bacterial infections of unspecified site,A49.8,55-64 years,55-64,29,40877819,0.1
,Other bacterial infections of unspecified site,A49.8,65-74 years,65-74,43,27550517,0.2
,Other bacterial infections of unspecified site,A49.8,75-84 years,75-84,43,13923174,0.3
,Other bacterial infections of unspecified site,A49.8,85+ years,85+,44,6287161,0.7
,"Bacterial infection, unspecified",A49.9,< 1 year,1,6,3978038,Unreliable
,"Bacterial infection, unspecified",A49.9,1-4 years,1-4,2,15929243,Unreliable
,"Bacterial infection, unspecified",A49.9,5-14 years,5-14,1,41109506,Unreliable
,"Bacterial infection, unspecified",A49.9,15-24 years,15-24,2,43848216,Unreliable
,"Bacterial infection, unspecified",A49.9,25-34 years,25-34,7,44137202,Unreliable
,"Bacterial infection, unspecified",A49.9,35-44 years,35-44,15,40589783,Unreliable
,"Bacterial infection, unspecified",A49.9,45-54 years,45-54,49,43188161,0.1
,"Bacterial infection, unspecified",A49.9,55-64 years,55-64,79,40877819,0.2
,"Bacterial infection, unspecified",A49.9,65-74 years,65-74,110,27550517,0.4
,"Bacterial infection, unspecified",A49.9,75-84 years,75-84,180,13923174,1.3
,"Bacterial infection, unspecified",A49.9,85+ years,85+,180,6287161,2.9
,"Congenital syphilis, unspecified",A50.9,< 1 year,1,2,3978038,Unreliable
,Cardiovascular syphilis,A52.0,25-34 years,25-34,1,44137202,Unreliable
,Cardiovascular syphilis,A52.0,35-44 years,35-44,1,40589783,Unreliable
,Cardiovascular syphilis,A52.0,55-64 years,55-64,1,40877819,Unreliable
,Symptomatic neurosyphilis,A52.1,55-64 years,55-64,1,40877819,Unreliable
,Symptomatic neurosyphilis,A52.1,65-74 years,65-74,4,27550517,Unreliable
,Symptomatic neurosyphilis,A52.1,75-84 years,75-84,1,13923174,Unreliable
,Symptomatic neurosyphilis,A52.1,85+ years,85+,3,6287161,Unreliable
,"Neurosyphilis, unspecified",A52.3,45-54 years,45-54,1,43188161,Unreliable
,"Neurosyphilis, unspecified",A52.3,55-64 years,55-64,3,40877819,Unreliable
,"Neurosyphilis, unspecified",A52.3,65-74 years,65-74,9,27550517,Unreliable
,"Neurosyphilis, unspecified",A52.3,75-84 years,75-84,5,13923174,Unreliable
,"Neurosyphilis, unspecified",A52.3,85+ years,85+,6,6287161,Unreliable
,Other symptomatic late syphilis,A52.7,85+ years,85+,1,6287161,Unreliable
,"Late syphilis, unspecified",A52.9,75-84 years,75-84,1,13923174,Unreliable
,"Latent syphilis, unspecified as early or late",A53.0,65-74 years,65-74,1,27550517,Unreliable
,"Latent syphilis, unspecified as early or late",A53.0,75-84 years,75-84,1,13923174,Unreliable
,"Syphilis, unspecified",A53.9,45-54 years,45-54,1,43188161,Unreliable
,"Syphilis, unspecified",A53.9,65-74 years,65-74,1,27550517,Unreliable
,"Syphilis, unspecified",A53.9,85+ years,85+,1,6287161,Unreliable
,Other gonococcal infections,A54.8,15-24 years,15-24,1,43848216,Unreliable
,Other gonococcal infections,A54.8,75-84 years,75-84,1,13923174,Unreliable
,"Gonococcal infection, unspecified",A54.9,25-34 years,25-34,1,44137202,Unreliable
,"Gonococcal infection, unspecified",A54.9,55-64 years,55-64,2,40877819,Unreliable
,"Trichomoniasis, unspecified",A59.9,< 1 year,1,1,3978038,Unreliable
,Anogenital (venereal) warts,A63.0,45-54 years,45-54,1,43188161,Unreliable
,Anogenital (venereal) warts,A63.0,55-64 years,55-64,1,40877819,Unreliable
,Anogenital (venereal) warts,A63.0,65-74 years,65-74,1,27550517,Unreliable
,Lyme disease,A69.2,25-34 years,25-34,1,44137202,Unreliable
,Lyme disease,A69.2,45-54 years,45-54,1,43188161,Unreliable
,Lyme disease,A69.2,55-64 years,55-64,3,40877819,Unreliable
,Lyme disease,A69.2,65-74 years,65-74,3,27550517,Unreliable
,Lyme disease,A69.2,75-84 years,75-84,1,13923174,Unreliable
,Lyme disease,A69.2,85+ years,85+,3,6287161,Unreliable
,Chlamydia psittaci infection,A70,85+ years,85+,1,6287161,Unreliable
,Typhus fever due to Rickettsia typhi,A75.2,55-64 years,55-64,1,40877819,Unreliable
,Spotted fever due to Rickettsia rickettsii,A77.0,55-64 years,55-64,1,40877819,Unreliable
,Spotted fever due to Rickettsia rickettsii,A77.0,65-74 years,65-74,2,27550517,Unreliable
,Spotted fever due to Rickettsia rickettsii,A77.0,85+ years,85+,1,6287161,Unreliable
,Other spotted fevers,A77.8,35-44 years,35-44,1,40589783,Unreliable
,Other spotted fevers,A77.8,45-54 years,45-54,1,43188161,Unreliable
,Other spotted fevers,A77.8,55-64 years,55-64,1,40877819,Unreliable
,Other spotted fevers,A77.8,65-74 years,65-74,2,27550517,Unreliable
,Other spotted fevers,A77.8,75-84 years,75-84,2,13923174,Unreliable
,Q fever,A78,45-54 years,45-54,1,43188161,Unreliable
,Rickettsialpox due to Rickettsia akari,A79.1,65-74 years,65-74,1,27550517,Unreliable
,"Rickettsiosis, unspecified",A79.9,45-54 years,45-54,1,43188161,Unreliable
,"Rickettsiosis, unspecified",A79.9,65-74 years,65-74,1,27550517,Unreliable
,Creutzfeldt-Jakob disease - CJD,A81.0,35-44 years,35-44,4,40589783,Unreliable
,Creutzfeldt-Jakob disease - CJD,A81.0,45-54 years,45-54,35,43188161,0.1
,Creutzfeldt-Jakob disease - CJD,A81.0,55-64 years,55-64,129,40877819,0.3
,Creutzfeldt-Jakob disease - CJD,A81.0,65-74 years,65-74,195,27550517,0.7
,Creutzfeldt-Jakob disease - CJD,A81.0,75-84 years,75-84,75,13923174,0.5
,Creutzfeldt-Jakob disease - CJD,A81.0,85+ years,85+,12,6287161,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,15-24 years,15-24,1,43848216,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,25-34 years,25-34,1,44137202,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,35-44 years,35-44,2,40589783,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,45-54 years,45-54,3,43188161,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,55-64 years,55-64,16,40877819,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,65-74 years,65-74,17,27550517,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,75-84 years,75-84,7,13923174,Unreliable
,Progressive multifocal leukoencephalopathy,A81.2,85+ years,85+,3,6287161,Unreliable
,"Slow virus infection of central nervous system, unspecified",A81.9,45-54 years,45-54,2,43188161,Unreliable
,"Slow virus infection of central nervous system, unspecified",A81.9,55-64 years,55-64,3,40877819,Unreliable
,"Slow virus infection of central nervous system, unspecified",A81.9,65-74 years,65-74,2,27550517,Unreliable
,"Slow virus infection of central nervous system, unspecified",A81.9,75-84 years,75-84,2,13923174,Unreliable
,"Slow virus infection of central nervous system, unspecified",A81.9,85+ years,85+,1,6287161,Unreliable
,"Rabies, unspecified",A82.9,65-74 years,65-74,1,27550517,Unreliable
,"Rabies, unspecified",A82.9,75-84 years,75-84,1,13923174,Unreliable
,Eastern equine encephalitis,A83.2,45-54 years,45-54,1,43188161,Unreliable
,Eastern equine encephalitis,A83.2,55-64 years,55-64,1,40877819,Unreliable
,Eastern equine encephalitis,A83.2,75-84 years,75-84,1,13923174,Unreliable
,Other specified viral encephalitis,A85.8,5-14 years,5-14,1,41109506,Unreliable
,Other specified viral encephalitis,A85.8,65-74 years,65-74,1,27550517,Unreliable
,Unspecified viral encephalitis,A86,1-4 years,1-4,3,15929243,Unreliable
,Unspecified viral encephalitis,A86,5-14 years,5-14,3,41109506,Unreliable
,Unspecified viral encephalitis,A86,15-24 years,15-24,3,43848216,Unreliable
,Unspecified viral encephalitis,A86,25-34 years,25-34,4,44137202,Unreliable
,Unspecified viral encephalitis,A86,35-44 years,35-44,4,40589783,Unreliable
,Unspecified viral encephalitis,A86,45-54 years,45-54,5,43188161,Unreliable
,Unspecified viral encephalitis,A86,55-64 years,55-64,17,40877819,Unreliable
,Unspecified viral encephalitis,A86,65-74 years,65-74,21,27550517,0.1
,Unspecified viral encephalitis,A86,75-84 years,75-84,23,13923174,0.2
,Unspecified viral encephalitis,A86,85+ years,85+,28,6287161,0.4
,Enteroviral meningitis,A87.0,< 1 year,1,1,3978038,Unreliable
,Enteroviral meningitis,A87.0,1-4 years,1-4,1,15929243,Unreliable
,Lymphocytic choriomeningitis,A87.2,5-14 years,5-14,1,41109506,Unreliable
,Lymphocytic choriomeningitis,A87.2,35-44 years,35-44,1,40589783,Unreliable
,Lymphocytic choriomeningitis,A87.2,75-84 years,75-84,2,13923174,Unreliable
,"Viral meningitis, unspecified",A87.9,< 1 year,1,2,3978038,Unreliable
,"Viral meningitis, unspecified",A87.9,5-14 years,5-14,1,41109506,Unreliable
,"Viral meningitis, unspecified",A87.9,25-34 years,25-34,2,44137202,Unreliable
,"Viral meningitis, unspecified",A87.9,35-44 years,35-44,1,40589783,Unreliable
,"Viral meningitis, unspecified",A87.9,45-54 years,45-54,2,43188161,Unreliable
,"Viral meningitis, unspecified",A87.9,55-64 years,55-64,5,40877819,Unreliable
,"Viral meningitis, unspecified",A87.9,65-74 years,65-74,8,27550517,Unreliable
,"Viral meningitis, unspecified",A87.9,75-84 years,75-84,11,13923174,Unreliable
,"Viral meningitis, unspecified",A87.9,85+ years,85+,7,6287161,Unreliable
,Unspecified viral infection of central nervous system,A89,65-74 years,65-74,3,27550517,Unreliable
,Unspecified viral infection of central nervous system,A89,75-84 years,75-84,2,13923174,Unreliable
,Unspecified viral infection of central nervous system,A89,85+ years,85+,1,6287161,Unreliable
,West Nile fever,A92.3,5-14 years,5-14,1,41109506,Unreliable
,West Nile fever,A92.3,15-24 years,15-24,1,43848216,Unreliable
,West Nile fever,A92.3,45-54 years,45-54,4,43188161,Unreliable
,West Nile fever,A92.3,55-64 years,55-64,17,40877819,Unreliable
,West Nile fever,A92.3,65-74 years,65-74,33,27550517,0.1
,West Nile fever,A92.3,75-84 years,75-84,40,13923174,0.3
,West Nile fever,A92.3,85+ years,85+,16,6287161,Unreliable
,Other specified arthropod-borne viral fevers,A93.8,65-74 years,65-74,1,27550517,Unreliable
,Other specified arthropod-borne viral fevers,A93.8,75-84 years,75-84,1,13923174,Unreliable
